published_at,Comments,Month,Rolling_Average
2023-01-31 00:00:00+00:00,24,Jan-2023,24.0
2023-02-28 00:00:00+00:00,3468,Feb-2023,1746.0
2023-03-31 00:00:00+00:00,1214,Mar-2023,1568.6666666666667
2023-04-30 00:00:00+00:00,555,Apr-2023,1745.6666666666667
2023-05-31 00:00:00+00:00,676,May-2023,815.0
2023-06-30 00:00:00+00:00,894,Jun-2023,708.3333333333334
2023-07-31 00:00:00+00:00,1094,Jul-2023,888.0
2023-08-31 00:00:00+00:00,541,Aug-2023,843.0
2023-09-30 00:00:00+00:00,640,Sep-2023,758.3333333333334
2023-10-31 00:00:00+00:00,367,Oct-2023,516.0
2023-11-30 00:00:00+00:00,167,Nov-2023,391.3333333333333
2023-12-31 00:00:00+00:00,263,Dec-2023,265.6666666666667
2024-01-31 00:00:00+00:00,437,Jan-2024,289.0
2024-02-29 00:00:00+00:00,543,Feb-2024,414.3333333333333
2024-03-31 00:00:00+00:00,787,Mar-2024,589.0
2024-04-30 00:00:00+00:00,1109,Apr-2024,813.0
2024-05-31 00:00:00+00:00,1754,May-2024,1216.6666666666667
2024-06-30 00:00:00+00:00,1828,Jun-2024,1563.6666666666667
2024-07-31 00:00:00+00:00,1775,Jul-2024,1785.6666666666667
2024-08-31 00:00:00+00:00,1572,Aug-2024,1725.0
2024-09-30 00:00:00+00:00,790,Sep-2024,1379.0
2024-10-31 00:00:00+00:00,329,Oct-2024,897.0
2024-11-30 00:00:00+00:00,301,Nov-2024,473.3333333333333
2024-12-31 00:00:00+00:00,527,Dec-2024,385.6666666666667
2025-01-31 00:00:00+00:00,503,Jan-2025,443.6666666666667
2025-02-28 00:00:00+00:00,814,Feb-2025,614.6666666666666
2025-03-31 00:00:00+00:00,2713,Mar-2025,1343.3333333333333
2025-04-30 00:00:00+00:00,1470,Apr-2025,1665.6666666666667
2025-05-31 00:00:00+00:00,2501,May-2025,2228.0
2025-06-30 00:00:00+00:00,4081,Jun-2025,2684.0
2025-07-31 00:00:00+00:00,3506,Jul-2025,3362.6666666666665
2025-08-31 00:00:00+00:00,2193,Aug-2025,3260.0
2025-09-30 00:00:00+00:00,943,Sep-2025,2214.0
2025-10-31 00:00:00+00:00,890,Oct-2025,1342.0
2025-11-30 00:00:00+00:00,632,Nov-2025,821.6666666666666
2025-12-31 00:00:00+00:00,791,Dec-2025,771.0
2026-01-31 00:00:00+00:00,922,Jan-2026,781.6666666666666
2026-02-28 00:00:00+00:00,1309,Feb-2026,1007.3333333333334
2026-03-31 00:00:00+00:00,1233,Mar-2026,1154.6666666666667
2026-04-30 00:00:00+00:00,1857,Apr-2026,1466.3333333333333
2026-05-31 00:00:00+00:00,2875,May-2026,1988.3333333333333
2026-06-30 00:00:00+00:00,2941,Jun-2026,2557.6666666666665
2026-07-31 00:00:00+00:00,171,Jul-2026,1995.6666666666667
