count,mean,std,min,25%,50%,75%,max,median,variance
1947.0,2024.63,1.07,2023.0,2024.0,2025.0,2025.0,2026.0,2025.0,1.14
1947.0,82692.3,536143.97,0.0,900.5,5415.0,25353.0,13476321.0,5415.0,287450359521.88
1947.0,1526.68,13600.59,0.0,10.0,72.0,317.0,467007.0,72.0,184976072.05
1947.0,50.49,421.3,0.0,1.0,7.0,31.0,17975.0,7.0,177491.41
1947.0,18.45,7.65,10.0,13.0,16.0,22.0,54.0,16.0,58.53
1947.0,11.67,3.63,2.0,9.0,12.0,14.0,22.0,12.0,13.19
1947.0,76.38,21.17,11.0,62.0,82.0,95.0,100.0,82.0,448.18
1947.0,15.66,8.11,0.0,12.0,19.0,21.0,30.0,19.0,65.75
1947.0,96.35,46.66,0.0,82.5,120.0,126.5,151.0,120.0,2176.88
1947.0,27.33,9.55,3.0,22.0,30.0,34.0,48.0,30.0,91.17
1947.0,173.57,53.35,18.0,155.0,193.0,214.0,247.0,193.0,2845.93
1947.0,0.5,0.88,0.0,0.0,0.0,1.0,8.0,0.0,0.77
1947.0,2.07,3.39,0.0,0.0,0.0,3.0,22.0,0.0,11.51
1947.0,0.03,0.21,0.0,0.0,0.0,0.0,4.0,0.0,0.04
1947.0,0.24,0.53,0.0,0.0,0.0,0.0,4.0,0.0,0.28
1947.0,0.17,0.49,0.0,0.0,0.0,0.0,5.0,0.0,0.24
1947.0,0.03,0.03,0.0,0.01,0.02,0.03,0.67,0.02,0.0
1947.0,8.48,2.47,0.0,6.8,8.6,10.14,16.42,8.6,6.12
1947.0,4.13,2.47,0.0,2.4,4.29,5.76,13.05,4.29,6.12
1947.0,2.16,1.78,0.0,0.69,2.08,3.47,9.8,2.08,3.18
1947.0,520.67,374.13,16.0,207.5,399.0,813.5,1278.0,399.0,139973.34
